"date","close","high","low","open"
"2021-01-25T20:39:00.000Z",276.71,276.82,276.68,276.69
"2021-01-25T20:40:00.000Z",276.515,276.74,276.48,276.74
"2021-01-25T20:41:00.000Z",276.63,276.655,276.52,276.535
"2021-01-25T20:42:00.000Z",276.87,276.87,276.595,276.595
"2021-01-25T20:43:00.000Z",277.06,277.16,276.87,276.91
"2021-01-25T20:44:00.000Z",277.18,277.18,277.025,277.07
"2021-01-25T20:45:00.000Z",277.67,277.75,277.205,277.23
"2021-01-25T20:46:00.000Z",277.8,277.8,277.525,277.71
"2021-01-25T20:47:00.000Z",277.8,277.89,277.79,277.89
"2021-01-25T20:48:00.000Z",277.815,277.955,277.815,277.955
"2021-01-25T20:49:00.000Z",277.81,277.925,277.8,277.81
"2021-01-25T20:50:00.000Z",278.11,278.12,277.9,277.9
"2021-01-25T20:51:00.000Z",277.92,278.18,277.88,278.15
"2021-01-25T20:52:00.000Z",277.94,278.03,277.915,277.985
"2021-01-25T20:53:00.000Z",277.79,278,277.79,277.82
"2021-01-25T20:54:00.000Z",277.945,277.965,277.76,277.85
"2021-01-25T20:55:00.000Z",277.95,278.02,277.9,277.91
"2021-01-25T20:56:00.000Z",277.82,277.945,277.79,277.945
"2021-01-25T20:57:00.000Z",277.97,278.01,277.61,277.85
"2021-01-25T20:58:00.000Z",277.995,278.03,277.96,277.985
"2021-01-25T20:59:00.000Z",278.01,278.15,277.93,278
"2021-01-25T21:00:00.000Z",278.01,278.01,278.01,278.01
"2021-01-26T14:30:00.000Z",278.805,279.3,278.07,278.125
"2021-01-26T14:31:00.000Z",278.56,279.22,278.455,278.8
"2021-01-26T14:32:00.000Z",278.46,279.09,278.35,278.35
"2021-01-26T14:33:00.000Z",278.925,278.925,277.85,278.46
"2021-01-26T14:34:00.000Z",279.57,279.57,278.56,278.985
"2021-01-26T14:35:00.000Z",279.83,280.33,279.54,279.66
"2021-01-26T14:36:00.000Z",280.13,280.18,279.79,279.83
"2021-01-26T14:37:00.000Z",279.665,280.06,279.665,279.94
"2021-01-26T14:38:00.000Z",280.07,280.1,279.81,279.81
"2021-01-26T14:39:00.000Z",279.75,279.93,279.18,279.93
"2021-01-26T14:40:00.000Z",280.03,280.115,279.8,280.05
"2021-01-26T14:41:00.000Z",281.33,281.36,280.035,280.035
"2021-01-26T14:42:00.000Z",280.14,281.24,280.13,281.23
"2021-01-26T14:43:00.000Z",279,280.12,278.855,280.12
"2021-01-26T14:44:00.000Z",279.045,279.59,278.995,279
"2021-01-26T14:45:00.000Z",278.685,279.26,278.52,279.07
"2021-01-26T14:46:00.000Z",278.98,278.98,278.495,278.58
"2021-01-26T14:47:00.000Z",278.99,279,278.84,278.98
"2021-01-26T14:48:00.000Z",279.305,279.41,279,279.12
"2021-01-26T14:49:00.000Z",279.035,279.36,278.995,279.24
"2021-01-26T14:50:00.000Z",278.955,279.1,278.92,279.1
"2021-01-26T14:51:00.000Z",279,279.09,278.7,278.97
"2021-01-26T14:52:00.000Z",279.16,279.16,278.945,279.06
"2021-01-26T14:53:00.000Z",280.31,280.31,278.92,279.14
"2021-01-26T14:54:00.000Z",280.02,280.29,279.84,279.94
"2021-01-26T14:55:00.000Z",280,280.08,279.975,280.04
"2021-01-26T14:56:00.000Z",280.01,280.06,279.83,279.965
"2021-01-26T14:57:00.000Z",279.58,279.92,279.56,279.92
"2021-01-26T14:58:00.000Z",280.095,280.095,279.44,279.67
"2021-01-26T14:59:00.000Z",280.285,280.44,280.01,280.17
"2021-01-26T15:00:00.000Z",280.64,280.64,280.22,280.33
"2021-01-26T15:01:00.000Z",281.005,281.12,280.65,280.67
"2021-01-26T15:02:00.000Z",281.08,281.33,280.96,280.97
"2021-01-26T15:03:00.000Z",281.615,281.615,281.13,281.185
"2021-01-26T15:04:00.000Z",281.26,281.62,281.22,281.62
"2021-01-26T15:05:00.000Z",281.27,281.54,281.19,281.4
"2021-01-26T15:06:00.000Z",281.06,281.445,280.94,281.36
"2021-01-26T15:07:00.000Z",280.43,281.2,280.43,281.11
